filename,doc_type,year,date,mpsi_hybrid,mpsi_keywords,mpsi_finbert,stance,hawkish_kw_count,dovish_kw_count,neutral_kw_count,word_count
fomc_st_20240731.txt,FOMC Statements,2024,2024-07-31,-13.73,-22.22,6.08,Dovish,0,2,7,301
fomc_min_20240917.txt,FOMC Minutes,2024,2024-09-17,-27.73,-13.64,-60.6,Dovish,5,8,9,5519
fomc_st_20240918.txt,FOMC Statements,2024,2024-09-18,-7.72,-12.5,3.44,Neutral,0,1,7,285
fomc_min_20241106.txt,FOMC Minutes,2024,2024-11-06,-19.6,-19.05,-20.87,Dovish,4,8,9,6165
fomc_st_20241107.txt,FOMC Statements,2024,2024-11-07,-14.86,-22.22,2.33,Dovish,0,2,7,271
fomc_min_20241217.txt,FOMC Minutes,2024,2024-12-17,-20.48,-15.0,-33.26,Dovish,4,7,9,5841
fomc_st_20241218.txt,FOMC Statements,2024,2024-12-18,-15.99,-22.22,-1.46,Dovish,0,2,7,276
fomc_min_20250128.txt,FOMC Minutes,2025,2025-01-28,-13.37,-4.0,-35.24,Dovish,7,8,10,6588
fomc_st_20250129.txt,FOMC Statements,2025,2025-01-29,-8.59,-12.5,0.53,Neutral,0,1,7,259
fomc_min_20250318.txt,FOMC Minutes,2025,2025-03-18,-13.37,4.35,-54.72,Dovish,8,7,8,5497
fomc_st_20250319.txt,FOMC Statements,2025,2025-03-19,-15.2,-22.22,1.18,Dovish,0,2,7,291
fomc_min_20250506.txt,FOMC Minutes,2025,2025-05-06,-12.33,-3.7,-32.45,Dovish,8,9,10,6216
fomc_st_20250507.txt,FOMC Statements,2025,2025-05-07,-14.17,-22.22,4.62,Dovish,0,2,7,266
fomc_min_20250617.txt,FOMC Minutes,2025,2025-06-17,-9.28,-4.76,-19.82,Neutral,6,7,8,5721
fomc_st_20250618.txt,FOMC Statements,2025,2025-06-18,-6.56,-12.5,7.3,Neutral,0,1,7,248
fomc_min_20250729.txt,FOMC Minutes,2025,2025-07-29,-5.06,0.0,-16.86,Neutral,9,9,10,5822
fomc_st_20250730.txt,FOMC Statements,2025,2025-07-30,-7.57,-12.5,3.94,Neutral,0,1,7,248
fomc_st_20250822.txt,FOMC Statements,2025,2025-08-22,3.8,0.0,12.65,Neutral,0,0,1,176
fomc_min_20250822.txt,FOMC Minutes,2025,2025-08-22,-17.85,-28.57,7.17,Dovish,0,2,5,667
fomc_min_20250916.txt,FOMC Minutes,2025,2025-09-16,-18.3,0.0,-60.99,Dovish,7,7,9,5272
fomc_st_20250917.txt,FOMC Statements,2025,2025-09-17,-23.52,-30.0,-8.41,Dovish,0,3,7,264
fomc_min_20251028.txt,FOMC Minutes,2025,2025-10-28,-21.71,-8.7,-52.07,Dovish,6,8,9,6436
